Game Title,Developer,Genre,Metacritic Score,Platform,Status,Priority,Publisher,Public Reviews & Links,Recommendation Source,Release Date
Eastward,Pixpil,"Adventure, Indie, RPG",77,"Nintendo Switch, PC",Want to Play,Medium,Chucklefish,Metascore 77. Post-apocalyptic adventure. Beautiful pixel art and emotional story.,Personal Discovery,"September 16, 2021"
Deathloop,Arkane Studios,"Action, Shooter",88,"PC, PlayStation 5",Want to Play,Medium,Bethesda Softworks,Metascore 88. Time-loop assassination game from creators of Dishonored. Innovative multiplayer invasion mechanics.,Personal Discovery,"September 14, 2021"
The Artful Escape,Beethoven & Dinosaur,"Adventure, Indie, Platformer",82,"PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Annapurna Interactive,Metascore 82. Psychedelic musical journey. Stunning visuals and original soundtrack.,Personal Discovery,"September 9, 2021"
Psychonauts 2,Double Fine Productions,"Adventure, Platformer",87,"PC, PlayStation 4, Xbox One, Xbox Series X|S",Want to Play,Medium,Xbox Game Studios,Metascore 87-89. Long-awaited sequel 16 years after original. Creative level design and heartfelt story.,Personal Discovery,"August 25, 2021"
Twelve Minutes,Luis Antonio,"Adventure, Indie, Puzzle",70,"PC, Xbox One, Xbox Series X|S",Want to Play,Low,Annapurna Interactive,Metascore 70-75. Time-loop thriller. Divisive narrative but interesting concept.,Personal Discovery,"August 19, 2021"
The Forgotten City,Modern Storyteller,"Adventure, RPG",83,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Dear Villagers,Metascore 83. Time-loop mystery in ancient Rome. Originally a Skyrim mod.,Personal Discovery,"July 28, 2021"
Deaths Door,Acid Nerve,"Action, Adventure, Indie",87,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Devolver Digital,Metascore 87. Zelda-like action adventure. Play as crow reaping souls.,Personal Discovery,"July 20, 2021"
Scarlet Nexus,Bandai Namco Studios,"Action, RPG",78,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Bandai Namco Entertainment,Metascore 78-82. Psychic powers action-RPG. Anime aesthetic with dual protagonist stories.,Personal Discovery,"June 25, 2021"
Wildermyth,Worldwalker Games,"Indie, RPG, Strategy",84,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Worldwalker Games,Metascore 84. Procedural tactical RPG. Characters age and grow across campaigns.,Personal Discovery,"June 15, 2021"
Guilty Gear Strive,Arc System Works,Fighting,86,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Arc System Works,Metascore 86-90. Stylish anime fighter. Accessible to newcomers while maintaining depth.,Personal Discovery,"June 11, 2021"
Ratchet & Clank: Rift Apart,Insomniac Games,"Action, Adventure, Platformer",88,"PC, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Metascore 88. PS5 exclusive showcasing console's SSD with instant world transitions. Stunning visuals.,Personal Discovery,"June 11, 2021"
Chicory: A Colorful Tale,Greg Lobanov,"Adventure, Indie, Puzzle",89,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",Want to Play,High,Finji,Metascore 89. Paint the world in this charming adventure. Heartwarming story about art and self-doubt.,Personal Discovery,"June 10, 2021"
Mass Effect Legendary Edition,BioWare,"Action, RPG, Shooter",89,"PC, PlayStation 4, Xbox One",Want to Play,High,Electronic Arts,Metascore 89-90. Remastered trilogy of one of gaming's greatest sci-fi RPG series. All DLC included with visual enhancements.,Personal Discovery,"May 14, 2021"
Resident Evil Village,Capcom,"Action, Horror",84,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Capcom,Metascore 84. Continuation of Resident Evil 7. Gothic horror with action focus. Over 10 million sold.,Personal Discovery,"May 7, 2021"
Guardians of the Galaxy: The Telltale Series,Telltale Games,Adventure,77,"PC, PlayStation 4, Xbox One",Want to Play,Low,Telltale Games,Narrative adventure game with player choices.,Personal Discovery,"May 4, 2021"
Returnal,Housemarque,"Action, Shooter",86,"PC, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Metascore 86. PS5 exclusive roguelike third-person shooter. Praised for intense gameplay and use of DualSense features.,Personal Discovery,"April 30, 2021"
Disco Elysium: The Final Cut,ZA/UM,RPG,91,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,ZA/UM,Metascore 91-97 depending on platform. Definitive version with full voice acting. Revolutionary narrative RPG with no combat.,Personal Discovery,"March 30, 2021"
Monster Hunter Rise,Capcom,"Action, RPG",88,"Nintendo Switch, PC",Want to Play,High,Capcom,Metascore 88. Faster-paced Monster Hunter. Wirebug mechanics add verticality. Over 13 million sold.,Personal Discovery,"March 26, 2021"
It Takes Two,Hazelight Studios,"Action, Adventure, Platformer",88,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Electronic Arts,Metascore 88-90. Won Game of the Year 2021 at The Game Awards. Revolutionary co-op gameplay.,Personal Discovery,"March 26, 2021"
Loop Hero,Four Quarters,"Indie, RPG, Strategy",83,"Nintendo Switch, PC",Want to Play,Medium,Devolver Digital,Metascore 83. Unique roguelike deck-builder. Minimalist but deeply addictive gameplay loop.,Personal Discovery,"March 4, 2021"
Curse of the Dead Gods,Passtech Games,"Action, Indie",79,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,Medium,Focus Entertainment,Metascore 79. Roguelike dungeon crawler. Risk-reward darkness mechanic.,Personal Discovery,"February 23, 2021"
Bowser's Fury,Nintendo,"Action, Platformer",89,Nintendo Switch,Want to Play,High,Nintendo,Metascore 89. Open-world Mario experiment. Bundled with Super Mario 3D World.,Personal Discovery,"February 12, 2021"
Little Nightmares II,Tarsier Studios,"Adventure, Horror, Puzzle",81,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Bandai Namco Entertainment,Metascore 81-84. Creepy puzzle-platformer. Atmospheric horror for all ages.,Personal Discovery,"February 11, 2021"
Valheim,Iron Gate Studio,"Adventure, Indie, Simulation",85,"PC, Xbox One, Xbox Series X|S",Want to Play,High,Coffee Stain Publishing,Metascore 85. Viking survival crafting co-op. Over 12 million sold in early access. Still being updated.,Personal Discovery,"February 2, 2021"
Cyber Shadow,Mechanical Head Studios,"Action, Platformer",83,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Yacht Club Games,Metascore 83. Retro ninja action platformer. Challenging NES-inspired gameplay.,Personal Discovery,"January 26, 2021"
Hitman 3,IO Interactive,,87,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,IO Interactive,Metascore 87. Conclusion to World of Assassination trilogy. Creative assassination sandboxes.,Personal Discovery,"January 20, 2021"
Dragon Quest XI S: Echoes of an Elusive Age,Square Enix,RPG,91,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,Medium,Square Enix,Metascore 91-93 depending on platform. Third highest-rated game of 2020. Definitive edition of acclaimed JRPG.,Personal Discovery,"December 4, 2020"
Immortals Fenyx Rising,Ubisoft Quebec,"Action, Adventure",77,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Ubisoft,Metascore 77-80. Greek mythology open-world. Compared to Breath of the Wild with unique charm.,Personal Discovery,"December 3, 2020"
Astro's Playroom,Team Asobi,"Action, Platformer",83,PlayStation 5,Want to Play,High,Sony Interactive Entertainment,Metascore 83. PS5 pack-in game. Showcases DualSense features with PlayStation nostalgia.,Personal Discovery,"November 12, 2020"
Sackboy: A Big Adventure,Sumo Digital,"Action, Platformer",79,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Sony Interactive Entertainment,Metascore 79. Charming 3D platformer. Accessible co-op gameplay for families.,Personal Discovery,"November 12, 2020"
Demon's Souls Remake,Bluepoint Games,"Action, RPG",92,PlayStation 5,Want to Play,High,Sony Interactive Entertainment,Metascore 92. Stunning remake of PS3 classic. PS5 launch title showcasing console capabilities.,Personal Discovery,"November 12, 2020"
Tetris Effect: Connected,Monstars Inc.,Puzzle,89,"PC, PlayStation 4, Xbox One, Xbox Series X|S",Want to Play,High,Enhance,Metascore 89. Mesmerizing Tetris experience. Audio-visual synesthesia with multiplayer.,Personal Discovery,"November 10, 2020"
Yakuza: Like a Dragon,Ryu Ga Gotoku Studio,"Action, RPG",84,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Sega,Metascore 84. Series reboot with turn-based combat. Fresh protagonist and setting.,Personal Discovery,"November 10, 2020"
13 Sentinels: Aegis Rim,Vanillaware,"Adventure, Strategy",85,"Nintendo Switch, PlayStation 4",Want to Play,High,Atlus,Metascore 85. Complex sci-fi visual novel. Intricate time-travel narrative praised by critics.,Personal Discovery,"September 22, 2020"
Hades,Supergiant Games,"Action, Indie, RPG",93,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Supergiant Games,Metascore 93. Won Game of the Year 2020 at multiple outlets. Revolutionized roguelike genre with narrative integration.,Personal Discovery,"September 17, 2020"
Spelunky 2,Mossmouth,"Action, Indie, Platformer",88,"PC, PlayStation 4",Want to Play,High,Mossmouth,Metascore 88. Roguelike platformer sequel. Even more depth and secrets than original.,Personal Discovery,"September 15, 2020"
Paradise Killer,Kaizen Game Works,"Adventure, Indie, Puzzle",82,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Fellow Traveller,Metascore 82. Open-world murder mystery. Vaporwave aesthetic and player-driven investigation.,Personal Discovery,"September 4, 2020"
Crusader Kings III,Paradox Development Studio,"Simulation, Strategy",91,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Paradox Interactive,Metascore 91. Grand strategy about medieval dynasties. More accessible than predecessor.,Personal Discovery,"September 1, 2020"
Mortal Shell,Cold Symmetry,"Action, RPG",78,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Playstack,Metascore 78. Dark soulslike from indie team. Unique shell-swapping mechanic.,Personal Discovery,"August 18, 2020"
Spiritfarer,Thunder Lotus Games,"Adventure, Indie, Simulation",86,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,High,Thunder Lotus Games,Metascore 86-88. Emotional management game about death and letting go. Beautiful hand-drawn art.,Personal Discovery,"August 18, 2020"
Microsoft Flight Simulator,Asobo Studio,Simulation,90,"PC, Xbox Series X|S",Want to Play,Medium,Xbox Game Studios,Metascore 90-93. Stunningly realistic flight simulation. Uses satellite data to recreate entire Earth.,Personal Discovery,"August 18, 2020"
Fall Guys,Mediatonic,"Action, Battle Royale",81,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Devolver Digital,Metascore 81. Battle royale party game phenomenon. Over 50 million players in first month.,Personal Discovery,"August 4, 2020"
Carrion,Phobia Game Studio,"Action, Horror, Indie",78,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,Medium,Devolver Digital,Metascore 78. Reverse horror game. Play as amorphous monster hunting humans.,Personal Discovery,"July 23, 2020"
Ghost of Tsushima,Sucker Punch Productions,"Action, Adventure",83,"PC, PlayStation 4, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Metascore 83-87. Beautiful open-world samurai game set in feudal Japan. Sold over 13 million copies.,Personal Discovery,"July 17, 2020"
Neon Abyss,Veewo Games,"Action, Indie, Platformer",73,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,Medium,Team17,Metascore 73. Roguelike run-and-gun. Colorful visuals and item synergies.,Personal Discovery,"July 14, 2020"
The Last of Us Part II,Naughty Dog,"Action, Adventure",93,PlayStation 4,Want to Play,High,Sony Interactive Entertainment,Metascore 93. Second highest-rated game of 2020. Winner of multiple Game of the Year awards including The Game Awards 2020.,Personal Discovery,"June 19, 2020"
Outer Wilds,Mobius Digital,"Adventure, Indie, Puzzle",89,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,High,Annapurna Interactive,Metascore 89. Time-loop space exploration game. Widely praised for innovative design and emotional storytelling.,Personal Discovery,"June 18, 2020"
Final Fantasy VII Remake,Square Enix,"Action, RPG",87,"PC, PlayStation 4, PlayStation 5",Want to Play,High,Square Enix,Metascore 87. Reimagining of iconic JRPG. Sold over 7 million copies. Expanded story and modern combat.,Personal Discovery,"April 10, 2020"
Half-Life: Alyx,Valve,"Action, Adventure, Shooter",93,"PC, VR",Want to Play,High,Valve,Metascore 93. Highest-rated PC game of 2020. Revolutionary VR experience that set new standards for virtual reality gaming.,Personal Discovery,"March 23, 2020"
Doom Eternal,id Software,"Action, Shooter",88,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Bethesda Softworks,Metascore 88. Fast-paced demon-slaying FPS. Praised for refined combat loop and level design.,Personal Discovery,"March 20, 2020"
Animal Crossing: New Horizons,Nintendo,Simulation,90,Nintendo Switch,Want to Play,Medium,Nintendo,"Metascore 90. Cultural phenomenon during 2020 pandemic. Sold over 45 million copies, one of best-selling Switch games.",Personal Discovery,"March 20, 2020"
Ori and the Will of the Wisps,Moon Studios,"Adventure, Platformer",90,"Nintendo Switch, PC, Xbox One, Xbox Series X|S",Want to Play,High,Xbox Game Studios,Metascore 90-93. Beautiful metroidvania with emotional story. Improved combat from predecessor.,Personal Discovery,"March 11, 2020"
Kentucky Route Zero: TV Edition,Cardboard Computer,"Adventure, Indie",85,"Nintendo Switch, PlayStation 4, Xbox One",Want to Play,High,Annapurna Interactive,Metascore 85. Magical realist adventure. Complete edition of acclaimed episodic series.,Personal Discovery,"January 28, 2020"
Persona 5 Royal,Atlus,RPG,94,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S",Want to Play,High,Atlus,"Metascore 94-95 depending on platform. Definitive version of critically acclaimed JRPG. Praised for style, story, and gameplay depth.",Personal Discovery,"October 31, 2019"
Sekiro: Shadows Die Twice,FromSoftware,"Action, Adventure",93,"PC, PlayStation 4, Xbox One",Want to Play,High,Activision,Metascore 93. Won Game of the Year 2019. FromSoftware's samurai action game with innovative combat system.,Personal Discovery,"March 22, 2019"
Resident Evil 2,Capcom,"Action, Adventure, Horror",93,"PC, PlayStation 4, Xbox One",Want to Play,Medium,Capcom,Metascore 93. Highest-rated game of 2019 alongside Sekiro. Masterful remake of survival horror classic.,Personal Discovery,"January 25, 2019"
The Legend of Zelda: Breath of the Wild,Nintendo,"Action, Adventure, RPG",97,Nintendo Switch,Want to Play,High,Nintendo,One of highest-rated games of all time. Revolutionary open-world design that influenced entire industry.,Personal Discovery,"March 3, 2017"
The Witcher 3: Wild Hunt,CD Projekt Red,"Action, Adventure, RPG",94,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,CD Projekt,Metascore 94. One of greatest RPGs ever made. Won over 250 Game of the Year awards. Netflix adaptation popularized it further.,Personal Discovery,"May 19, 2015"
Grand Theft Auto V,Rockstar North,"Action, Adventure",97,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Rockstar Games,Second best-selling game of 21st century with 205 million units sold. Metascore 97. Ongoing success with GTA Online.,Personal Discovery,"September 17, 2013"
Minecraft,Mojang Studios,"Adventure, Indie, Simulation",93,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Microsoft,Best-selling game of 21st century with 300 million units sold. Cultural phenomenon and industry-defining title.,Personal Discovery,"November 18, 2011"
The Legend of Zelda: Ocarina of Time,Nintendo,"Action, Adventure, RPG",99,Nintendo Switch,Want to Play,High,Nintendo,Most critically acclaimed video game of all time with near-perfect Metascore of 99. Considered the gold standard for action-adventure games.,Personal Discovery,"November 21, 1998"
,,,,,,,,,,
